Name,matches_played,goals_scored
Erling Haaland,10,12
Bernardo Silva,12,3
Julián Álvarez,10,3
Riyad Mahrez,9,3
Kevin De Bruyne,9,2
Ilkay Gündogan,12,1
Rúben Dias,11,1
Rodri,11,1
Manuel Akanji,10,1
John Stones,7,1
Phil Foden,7,1
Rico Lewis,2,1
Jack Grealish,12,0
Ederson,10,0
Nathan Aké,7,0
Sergio Gómez,5,0
Aymeric Laporte,4,0
Kyle Walker,4,0
Cole Palmer,4,0
Kalvin Phillips,3,0
Stefan Ortega,2,0
Josh Wilson-Esbrand,2,0
Shea Charles,0,0
Alex Robertson,0,0
